date,ccy,rate
2022-12-27,EUR,1.066
2022-12-27,GBP,1.208
2022-12-28,EUR,1.071361
2022-12-28,GBP,1.21222
2022-12-29,EUR,1.073353
2022-12-29,GBP,1.217394
2022-12-30,EUR,1.075424
2022-12-30,GBP,1.219576
2023-01-03,EUR,1.071979
2023-01-03,GBP,1.215001
2023-01-04,EUR,1.069301
2023-01-04,GBP,1.211616
2023-01-05,EUR,1.067707
2023-01-05,GBP,1.212959
2023-01-06,EUR,1.069481
2023-01-06,GBP,1.218288
2023-01-09,EUR,1.065065
2023-01-09,GBP,1.220168
2023-01-10,EUR,1.067317
2023-01-10,GBP,1.219289
2023-01-11,EUR,1.065113
2023-01-11,GBP,1.217228
2023-01-12,EUR,1.060043
2023-01-12,GBP,1.213235
2023-01-13,EUR,1.060504
2023-01-13,GBP,1.221512
2023-01-17,EUR,1.059844
2023-01-17,GBP,1.220239
2023-01-18,EUR,1.07046
2023-01-18,GBP,1.222121
2023-01-19,EUR,1.071762
2023-01-19,GBP,1.224434
2023-01-20,EUR,1.070512
2023-01-20,GBP,1.225269
2023-01-23,EUR,1.070989
2023-01-23,GBP,1.227695
2023-01-24,EUR,1.075463
2023-01-24,GBP,1.226678
2023-01-25,EUR,1.076047
2023-01-25,GBP,1.221112
2023-01-26,EUR,1.074928
2023-01-26,GBP,1.227624
2023-01-27,EUR,1.072463
2023-01-27,GBP,1.227995
2023-01-30,EUR,1.062335
2023-01-30,GBP,1.225387
2023-01-31,EUR,1.06574
2023-01-31,GBP,1.221192
2023-02-01,EUR,1.06658
2023-02-01,GBP,1.229205
2023-02-02,EUR,1.068151
2023-02-02,GBP,1.223841
2023-02-03,EUR,1.069249
2023-02-03,GBP,1.228007
2023-02-06,EUR,1.072179
2023-02-06,GBP,1.236366
2023-02-07,EUR,1.068084
2023-02-07,GBP,1.233269
2023-02-08,EUR,1.065494
2023-02-08,GBP,1.232635
2023-02-09,EUR,1.059744
2023-02-09,GBP,1.228885
2023-02-10,EUR,1.060463
2023-02-10,GBP,1.227767
2023-02-13,EUR,1.064251
2023-02-13,GBP,1.223526
2023-02-14,EUR,1.07316
2023-02-14,GBP,1.225523
2023-02-15,EUR,1.073941
2023-02-15,GBP,1.218734
2023-02-16,EUR,1.069503
2023-02-16,GBP,1.213103
2023-02-17,EUR,1.075858
2023-02-17,GBP,1.206159
2023-02-21,EUR,1.082058
2023-02-21,GBP,1.208388
2023-02-22,EUR,1.07639
2023-02-22,GBP,1.212979
2023-02-23,EUR,1.075492
2023-02-23,GBP,1.212161
2023-02-24,EUR,1.075818
2023-02-24,GBP,1.216138
2023-02-27,EUR,1.077588
2023-02-27,GBP,1.209361
2023-02-28,EUR,1.077641
2023-02-28,GBP,1.207613
2023-03-01,EUR,1.08265
2023-03-01,GBP,1.20676
2023-03-02,EUR,1.078931
2023-03-02,GBP,1.208846
2023-03-03,EUR,1.08526
2023-03-03,GBP,1.209815
2023-03-06,EUR,1.086592
2023-03-06,GBP,1.210853
2023-03-07,EUR,1.086549
2023-03-07,GBP,1.207934
2023-03-08,EUR,1.082238
2023-03-08,GBP,1.211265
2023-03-09,EUR,1.078522
2023-03-09,GBP,1.204188
2023-03-10,EUR,1.086208
2023-03-10,GBP,1.207708
2023-03-13,EUR,1.085938
2023-03-13,GBP,1.208079
2023-03-14,EUR,1.091641
2023-03-14,GBP,1.206493
2023-03-15,EUR,1.093154
2023-03-15,GBP,1.201905
2023-03-16,EUR,1.100803
2023-03-16,GBP,1.202556
2023-03-17,EUR,1.10576
2023-03-17,GBP,1.194023
2023-03-20,EUR,1.102097
2023-03-20,GBP,1.198293
2023-03-21,EUR,1.099404
2023-03-21,GBP,1.195556
2023-03-22,EUR,1.101757
2023-03-22,GBP,1.192997
2023-03-23,EUR,1.103432
2023-03-23,GBP,1.198564
2023-03-24,EUR,1.105643
2023-03-24,GBP,1.209202
2023-03-27,EUR,1.107935
2023-03-27,GBP,1.208549
2023-03-28,EUR,1.111164
2023-03-28,GBP,1.206569
2023-03-29,EUR,1.104663
2023-03-29,GBP,1.204773
2023-03-30,EUR,1.103599
2023-03-30,GBP,1.200759
2023-03-31,EUR,1.109062
2023-03-31,GBP,1.203852
2023-04-03,EUR,1.108066
2023-04-03,GBP,1.197583
2023-04-04,EUR,1.100569
2023-04-04,GBP,1.19429
2023-04-05,EUR,1.097504
2023-04-05,GBP,1.195332
2023-04-06,EUR,1.092957
2023-04-06,GBP,1.191617
2023-04-11,EUR,1.08859
2023-04-11,GBP,1.192541
2023-04-12,EUR,1.080399
2023-04-12,GBP,1.192005
2023-04-13,EUR,1.077404
2023-04-13,GBP,1.186393
2023-04-14,EUR,1.080465
2023-04-14,GBP,1.189121
2023-04-17,EUR,1.081046
2023-04-17,GBP,1.184499
2023-04-18,EUR,1.085332
2023-04-18,GBP,1.187711
2023-04-19,EUR,1.087699
2023-04-19,GBP,1.186545
2023-04-20,EUR,1.086299
2023-04-20,GBP,1.189718
2023-04-21,EUR,1.082936
2023-04-21,GBP,1.200295
2023-04-24,EUR,1.086211
2023-04-24,GBP,1.20158
2023-04-25,EUR,1.08494
2023-04-25,GBP,1.198567
2023-04-26,EUR,1.086192
2023-04-26,GBP,1.204786
2023-04-27,EUR,1.09075
2023-04-27,GBP,1.202559
2023-04-28,EUR,1.096412
2023-04-28,GBP,1.202434
2023-05-01,EUR,1.086759
2023-05-01,GBP,1.201965
2023-05-02,EUR,1.090765
2023-05-02,GBP,1.206553
2023-05-03,EUR,1.094672
2023-05-03,GBP,1.198632
2023-05-04,EUR,1.08995
2023-05-04,GBP,1.194861
2023-05-05,EUR,1.083372
2023-05-05,GBP,1.191212
2023-05-08,EUR,1.082202
2023-05-08,GBP,1.196997
2023-05-09,EUR,1.083963
2023-05-09,GBP,1.191298
2023-05-10,EUR,1.079658
2023-05-10,GBP,1.187579
2023-05-11,EUR,1.076422
2023-05-11,GBP,1.185193
2023-05-12,EUR,1.074521
2023-05-12,GBP,1.184505
2023-05-15,EUR,1.080787
2023-05-15,GBP,1.19284
2023-05-16,EUR,1.07991
2023-05-16,GBP,1.188664
2023-05-17,EUR,1.078574
2023-05-17,GBP,1.179762
2023-05-18,EUR,1.074755
2023-05-18,GBP,1.179979
2023-05-19,EUR,1.077746
2023-05-19,GBP,1.183304
2023-05-22,EUR,1.079994
2023-05-22,GBP,1.186082
2023-05-23,EUR,1.084161
2023-05-23,GBP,1.182546
2023-05-24,EUR,1.085685
2023-05-24,GBP,1.184082
2023-05-25,EUR,1.083625
2023-05-25,GBP,1.185342
2023-05-26,EUR,1.077364
2023-05-26,GBP,1.187024
2023-05-30,EUR,1.078166
2023-05-30,GBP,1.186725
2023-05-31,EUR,1.074773
2023-05-31,GBP,1.185921
2023-06-01,EUR,1.074597
2023-06-01,GBP,1.189884
2023-06-02,EUR,1.080861
2023-06-02,GBP,1.192102
2023-06-05,EUR,1.084324
2023-06-05,GBP,1.201383
2023-06-06,EUR,1.086926
2023-06-06,GBP,1.194152
2023-06-07,EUR,1.083704
2023-06-07,GBP,1.196752
2023-06-08,EUR,1.073717
2023-06-08,GBP,1.195096
2023-06-09,EUR,1.070967
2023-06-09,GBP,1.193308
2023-06-12,EUR,1.07272
2023-06-12,GBP,1.196361
2023-06-13,EUR,1.069177
2023-06-13,GBP,1.200221
2023-06-14,EUR,1.070823
2023-06-14,GBP,1.200501
2023-06-15,EUR,1.074188
2023-06-15,GBP,1.209717
2023-06-16,EUR,1.075818
2023-06-16,GBP,1.205513
2023-06-20,EUR,1.073008
2023-06-20,GBP,1.204415
2023-06-21,EUR,1.073224
2023-06-21,GBP,1.198067
2023-06-22,EUR,1.06524
2023-06-22,GBP,1.198038
2023-06-23,EUR,1.065863
2023-06-23,GBP,1.194175
2023-06-26,EUR,1.067071
2023-06-26,GBP,1.195177
2023-06-27,EUR,1.063569
2023-06-27,GBP,1.194517
2023-06-28,EUR,1.067055
2023-06-28,GBP,1.198404
2023-06-29,EUR,1.06931
2023-06-29,GBP,1.195221
2023-06-30,EUR,1.065064
2023-06-30,GBP,1.201538
2023-07-03,EUR,1.075807
2023-07-03,GBP,1.198766
2023-07-05,EUR,1.074458
2023-07-05,GBP,1.202242
2023-07-06,EUR,1.070471
2023-07-06,GBP,1.199646
2023-07-07,EUR,1.066235
2023-07-07,GBP,1.192873
2023-07-10,EUR,1.067363
2023-07-10,GBP,1.197111
2023-07-11,EUR,1.060519
2023-07-11,GBP,1.197274
2023-07-12,EUR,1.06489
2023-07-12,GBP,1.191259
2023-07-13,EUR,1.066813
2023-07-13,GBP,1.196079
2023-07-14,EUR,1.070866
2023-07-14,GBP,1.19819
2023-07-17,EUR,1.079459
2023-07-17,GBP,1.196791
2023-07-18,EUR,1.081934
2023-07-18,GBP,1.192607
2023-07-19,EUR,1.088121
2023-07-19,GBP,1.199708
2023-07-20,EUR,1.08131
2023-07-20,GBP,1.201531
2023-07-21,EUR,1.079182
2023-07-21,GBP,1.199908
2023-07-24,EUR,1.078773
2023-07-24,GBP,1.199334
2023-07-25,EUR,1.081434
2023-07-25,GBP,1.208801
2023-07-26,EUR,1.081659
2023-07-26,GBP,1.213494
2023-07-27,EUR,1.087739
2023-07-27,GBP,1.214241
2023-07-28,EUR,1.087609
2023-07-28,GBP,1.212217
2023-07-31,EUR,1.086514
2023-07-31,GBP,1.210365
2023-08-01,EUR,1.087006
2023-08-01,GBP,1.213384
2023-08-02,EUR,1.089785
2023-08-02,GBP,1.215782
2023-08-03,EUR,1.073831
2023-08-03,GBP,1.218851
2023-08-04,EUR,1.074864
2023-08-04,GBP,1.221932
2023-08-07,EUR,1.069109
2023-08-07,GBP,1.222415
2023-08-08,EUR,1.066538
2023-08-08,GBP,1.22446
2023-08-09,EUR,1.067784
2023-08-09,GBP,1.21949
2023-08-10,EUR,1.064992
2023-08-10,GBP,1.225528
2023-08-11,EUR,1.061484
2023-08-11,GBP,1.217981
2023-08-14,EUR,1.05822
2023-08-14,GBP,1.221706
2023-08-15,EUR,1.056368
2023-08-15,GBP,1.220062
2023-08-16,EUR,1.056829
2023-08-16,GBP,1.219983
2023-08-17,EUR,1.055946
2023-08-17,GBP,1.219979
2023-08-18,EUR,1.056719
2023-08-18,GBP,1.223013
2023-08-21,EUR,1.063001
2023-08-21,GBP,1.222588
2023-08-22,EUR,1.05607
2023-08-22,GBP,1.22016
2023-08-23,EUR,1.059099
2023-08-23,GBP,1.221819
2023-08-24,EUR,1.057332
2023-08-24,GBP,1.221615
2023-08-25,EUR,1.057948
2023-08-25,GBP,1.213826
2023-08-28,EUR,1.051428
2023-08-28,GBP,1.221504
2023-08-29,EUR,1.041871
2023-08-29,GBP,1.225082
2023-08-30,EUR,1.036132
2023-08-30,GBP,1.229596
2023-08-31,EUR,1.045527
2023-08-31,GBP,1.228347
2023-09-01,EUR,1.051794
2023-09-01,GBP,1.227248
2023-09-05,EUR,1.055909
2023-09-05,GBP,1.238387
2023-09-06,EUR,1.052973
2023-09-06,GBP,1.238228
2023-09-07,EUR,1.049178
2023-09-07,GBP,1.234482
2023-09-08,EUR,1.047871
2023-09-08,GBP,1.233781
2023-09-11,EUR,1.041273
2023-09-11,GBP,1.236849
2023-09-12,EUR,1.044288
2023-09-12,GBP,1.236184
2023-09-13,EUR,1.050904
2023-09-13,GBP,1.230122
2023-09-14,EUR,1.05088
2023-09-14,GBP,1.233169
2023-09-15,EUR,1.047928
2023-09-15,GBP,1.234208
2023-09-18,EUR,1.051035
2023-09-18,GBP,1.240311
2023-09-19,EUR,1.043816
2023-09-19,GBP,1.243568
2023-09-20,EUR,1.04564
2023-09-20,GBP,1.243016
2023-09-21,EUR,1.05534
2023-09-21,GBP,1.246256
2023-09-22,EUR,1.056037
2023-09-22,GBP,1.25702
2023-09-25,EUR,1.057149
2023-09-25,GBP,1.259582
2023-09-26,EUR,1.061241
2023-09-26,GBP,1.256861
2023-09-27,EUR,1.061278
2023-09-27,GBP,1.251726
2023-09-28,EUR,1.059131
2023-09-28,GBP,1.250768
2023-09-29,EUR,1.057454
2023-09-29,GBP,1.248936
2023-10-02,EUR,1.056813
2023-10-02,GBP,1.253546
2023-10-03,EUR,1.056099
2023-10-03,GBP,1.25152
2023-10-04,EUR,1.057439
2023-10-04,GBP,1.2477
2023-10-05,EUR,1.064486
2023-10-05,GBP,1.255633
2023-10-06,EUR,1.061079
2023-10-06,GBP,1.251154
2023-10-09,EUR,1.068004
2023-10-09,GBP,1.251792
2023-10-10,EUR,1.068541
2023-10-10,GBP,1.251676
2023-10-11,EUR,1.068283
2023-10-11,GBP,1.258644
2023-10-12,EUR,1.069242
2023-10-12,GBP,1.257577
2023-10-13,EUR,1.070971
2023-10-13,GBP,1.257376
2023-10-16,EUR,1.067803
2023-10-16,GBP,1.25548
