date,book,ticker,qty
2023-01-03,ALPHA,AAPL,4000
2023-01-03,ALPHA,KO,-5100
2023-01-03,ALPHA,MSFT,-1300
2023-01-03,ALPHA,NVDA,6800
2023-01-03,ALPHA,SAP.DE,7800
2023-01-03,DELTA,AAPL,-7400
2023-01-03,DELTA,GS,1700
2023-01-03,DELTA,JPM,-900
2023-01-03,DELTA,SHEL.L,6300
2023-01-03,DELTA,XOM,900
2023-01-03,MACRO,NVDA,-1000
2023-01-03,MACRO,PG,3800
2023-01-03,MACRO,SAP.DE,5000
2023-01-03,MACRO,XOM,2400
2023-01-04,ALPHA,AAPL,4000
2023-01-04,ALPHA,KO,-5100
2023-01-04,ALPHA,MSFT,-1300
2023-01-04,ALPHA,NVDA,6800
2023-01-04,ALPHA,SAP.DE,7800
2023-01-04,DELTA,AAPL,-7400
2023-01-04,DELTA,GS,1700
2023-01-04,DELTA,JPM,-900
2023-01-04,DELTA,SHEL.L,6300
2023-01-04,DELTA,XOM,900
2023-01-04,MACRO,NVDA,-1000
2023-01-04,MACRO,PG,3800
2023-01-04,MACRO,SAP.DE,5000
2023-01-04,MACRO,XOM,2400
2023-01-05,ALPHA,AAPL,4000
2023-01-05,ALPHA,KO,-5100
2023-01-05,ALPHA,MSFT,-1300
2023-01-05,ALPHA,NVDA,6800
2023-01-05,ALPHA,SAP.DE,7800
2023-01-05,DELTA,AAPL,-7400
2023-01-05,DELTA,GS,1700
2023-01-05,DELTA,JPM,-900
2023-01-05,DELTA,SHEL.L,6300
2023-01-05,DELTA,XOM,900
2023-01-05,MACRO,NVDA,-1000
2023-01-05,MACRO,PG,3800
2023-01-05,MACRO,SAP.DE,5000
2023-01-05,MACRO,XOM,2400
2023-01-06,ALPHA,AAPL,4000
2023-01-06,ALPHA,KO,-5100
2023-01-06,ALPHA,MSFT,-1300
2023-01-06,ALPHA,NVDA,6800
2023-01-06,ALPHA,SAP.DE,7800
2023-01-06,DELTA,AAPL,-7400
2023-01-06,DELTA,GS,1700
2023-01-06,DELTA,JPM,-900
2023-01-06,DELTA,SHEL.L,6300
2023-01-06,DELTA,XOM,900
2023-01-06,MACRO,NVDA,-1000
2023-01-06,MACRO,PG,3800
2023-01-06,MACRO,SAP.DE,5000
2023-01-06,MACRO,XOM,2400
2023-01-09,ALPHA,AAPL,4000
2023-01-09,ALPHA,KO,-5100
2023-01-09,ALPHA,MSFT,-1300
2023-01-09,ALPHA,NVDA,6800
2023-01-09,ALPHA,SAP.DE,7800
2023-01-09,DELTA,AAPL,-7400
2023-01-09,DELTA,GS,1700
2023-01-09,DELTA,JPM,-900
2023-01-09,DELTA,SHEL.L,6300
2023-01-09,DELTA,XOM,900
2023-01-09,MACRO,NVDA,-1000
2023-01-09,MACRO,PG,3800
2023-01-09,MACRO,SAP.DE,5000
2023-01-09,MACRO,XOM,2400
2023-01-10,ALPHA,AAPL,4000
2023-01-10,ALPHA,KO,-5100
2023-01-10,ALPHA,MSFT,-1300
2023-01-10,ALPHA,NVDA,6800
2023-01-10,ALPHA,SAP.DE,7800
2023-01-10,DELTA,AAPL,-7400
2023-01-10,DELTA,GS,1700
2023-01-10,DELTA,JPM,-900
2023-01-10,DELTA,SHEL.L,6300
2023-01-10,DELTA,XOM,900
2023-01-10,MACRO,NVDA,-1000
2023-01-10,MACRO,PG,3800
2023-01-10,MACRO,SAP.DE,5000
2023-01-10,MACRO,XOM,2400
2023-01-11,ALPHA,AAPL,4000
2023-01-11,ALPHA,KO,-5100
2023-01-11,ALPHA,MSFT,-1300
2023-01-11,ALPHA,NVDA,6800
2023-01-11,ALPHA,SAP.DE,7800
2023-01-11,DELTA,AAPL,-7400
2023-01-11,DELTA,GS,1700
2023-01-11,DELTA,JPM,-900
2023-01-11,DELTA,SHEL.L,6300
2023-01-11,DELTA,XOM,900
2023-01-11,MACRO,NVDA,-1000
2023-01-11,MACRO,PG,3800
2023-01-11,MACRO,SAP.DE,5000
2023-01-11,MACRO,XOM,2400
2023-01-12,ALPHA,AAPL,4000
2023-01-12,ALPHA,KO,-5100
2023-01-12,ALPHA,MSFT,-1300
2023-01-12,ALPHA,NVDA,6800
2023-01-12,ALPHA,SAP.DE,7800
2023-01-12,DELTA,AAPL,-7400
2023-01-12,DELTA,GS,1700
2023-01-12,DELTA,JPM,-900
2023-01-12,DELTA,SHEL.L,6300
2023-01-12,DELTA,XOM,900
2023-01-12,MACRO,NVDA,-1000
2023-01-12,MACRO,PG,3800
2023-01-12,MACRO,SAP.DE,5000
2023-01-12,MACRO,XOM,2400
2023-01-13,ALPHA,AAPL,4000
2023-01-13,ALPHA,KO,-5100
2023-01-13,ALPHA,MSFT,-1300
2023-01-13,ALPHA,NVDA,6800
2023-01-13,ALPHA,SAP.DE,7800
2023-01-13,DELTA,AAPL,-7400
2023-01-13,DELTA,GS,1700
2023-01-13,DELTA,JPM,-900
2023-01-13,DELTA,SHEL.L,6300
2023-01-13,DELTA,XOM,900
2023-01-13,MACRO,NVDA,-1000
2023-01-13,MACRO,PG,3800
2023-01-13,MACRO,SAP.DE,5000
2023-01-13,MACRO,XOM,2400
2023-01-17,ALPHA,AAPL,4000
2023-01-17,ALPHA,KO,-5100
2023-01-17,ALPHA,MSFT,-1300
2023-01-17,ALPHA,NVDA,6800
2023-01-17,ALPHA,SAP.DE,7800
2023-01-17,DELTA,AAPL,-7400
2023-01-17,DELTA,GS,1700
2023-01-17,DELTA,JPM,-900
2023-01-17,DELTA,SHEL.L,6300
2023-01-17,DELTA,XOM,900
2023-01-17,MACRO,NVDA,-1000
2023-01-17,MACRO,PG,3800
2023-01-17,MACRO,SAP.DE,5000
2023-01-17,MACRO,XOM,2400
2023-01-18,ALPHA,AAPL,4000
2023-01-18,ALPHA,KO,-5100
2023-01-18,ALPHA,MSFT,-1300
2023-01-18,ALPHA,NVDA,6800
2023-01-18,ALPHA,SAP.DE,7800
2023-01-18,DELTA,AAPL,-7400
2023-01-18,DELTA,GS,1700
2023-01-18,DELTA,JPM,-900
2023-01-18,DELTA,SHEL.L,6300
2023-01-18,DELTA,XOM,900
2023-01-18,MACRO,NVDA,-1000
2023-01-18,MACRO,PG,3800
2023-01-18,MACRO,SAP.DE,5000
2023-01-18,MACRO,XOM,2400
2023-01-19,ALPHA,AAPL,4000
2023-01-19,ALPHA,KO,-5100
2023-01-19,ALPHA,MSFT,-1300
2023-01-19,ALPHA,NVDA,6800
2023-01-19,ALPHA,SAP.DE,7800
2023-01-19,DELTA,AAPL,-7400
2023-01-19,DELTA,GS,1700
2023-01-19,DELTA,JPM,-900
2023-01-19,DELTA,SHEL.L,6300
2023-01-19,DELTA,XOM,900
2023-01-19,MACRO,NVDA,-1000
2023-01-19,MACRO,PG,3800
2023-01-19,MACRO,SAP.DE,5000
2023-01-19,MACRO,XOM,2400
2023-01-20,ALPHA,AAPL,4000
2023-01-20,ALPHA,KO,-5100
2023-01-20,ALPHA,MSFT,-1300
2023-01-20,ALPHA,NVDA,6800
2023-01-20,ALPHA,SAP.DE,7800
2023-01-20,DELTA,AAPL,-7400
2023-01-20,DELTA,GS,1700
2023-01-20,DELTA,JPM,-900
2023-01-20,DELTA,SHEL.L,6300
2023-01-20,DELTA,XOM,900
2023-01-20,MACRO,NVDA,-1000
2023-01-20,MACRO,PG,3800
2023-01-20,MACRO,SAP.DE,5000
2023-01-20,MACRO,XOM,2400
2023-01-23,ALPHA,AAPL,4000
2023-01-23,ALPHA,KO,-5100
2023-01-23,ALPHA,MSFT,-1300
2023-01-23,ALPHA,NVDA,6800
2023-01-23,ALPHA,SAP.DE,7800
2023-01-23,DELTA,AAPL,-7400
2023-01-23,DELTA,GS,1700
2023-01-23,DELTA,JPM,-900
2023-01-23,DELTA,SHEL.L,6300
2023-01-23,DELTA,XOM,900
2023-01-23,MACRO,NVDA,-1000
2023-01-23,MACRO,PG,3800
2023-01-23,MACRO,SAP.DE,5000
2023-01-23,MACRO,XOM,2400
2023-01-24,ALPHA,AAPL,4000
2023-01-24,ALPHA,KO,-5100
2023-01-24,ALPHA,MSFT,-1300
2023-01-24,ALPHA,NVDA,6800
2023-01-24,ALPHA,SAP.DE,7800
2023-01-24,DELTA,AAPL,-7400
2023-01-24,DELTA,GS,1700
2023-01-24,DELTA,JPM,-900
2023-01-24,DELTA,SHEL.L,6300
2023-01-24,DELTA,XOM,900
2023-01-24,MACRO,NVDA,-1000
2023-01-24,MACRO,PG,3800
2023-01-24,MACRO,SAP.DE,5000
2023-01-24,MACRO,XOM,2400
2023-01-25,ALPHA,AAPL,4000
2023-01-25,ALPHA,KO,-5100
2023-01-25,ALPHA,MSFT,-1300
2023-01-25,ALPHA,NVDA,6800
2023-01-25,ALPHA,SAP.DE,7800
2023-01-25,DELTA,AAPL,-7400
2023-01-25,DELTA,GS,1700
2023-01-25,DELTA,JPM,-900
2023-01-25,DELTA,SHEL.L,6300
2023-01-25,DELTA,XOM,900
2023-01-25,MACRO,NVDA,-1000
2023-01-25,MACRO,PG,3800
2023-01-25,MACRO,SAP.DE,5000
2023-01-25,MACRO,XOM,2400
2023-01-26,ALPHA,AAPL,4000
2023-01-26,ALPHA,KO,-5100
2023-01-26,ALPHA,MSFT,-1300
2023-01-26,ALPHA,NVDA,6800
2023-01-26,ALPHA,SAP.DE,7800
2023-01-26,DELTA,AAPL,-7400
2023-01-26,DELTA,GS,1700
2023-01-26,DELTA,JPM,-900
