date,book,MKT,SIZE,VALUE,MOM,QUALITY
2023-01-31,ALPHA,1.0197,-0.6726,0.0865,0.3902,0.1942
2023-01-31,DELTA,0.9272,-0.7121,-0.2024,0.2339,0.1514
2023-01-31,MACRO,0.9655,-1.1982,,0.3486,
2023-02-28,ALPHA,1.0954,-0.1931,0.144,0.4674,0.3065
2023-02-28,DELTA,0.8513,0.2202,0.006,,-0.2659
2023-02-28,MACRO,1.0609,-1.3385,,0.2068,
2023-03-31,ALPHA,1.2235,-0.1768,0.244,-0.1531,-0.0003
2023-03-31,DELTA,1.079,0.1048,0.6332,0.2759,0.2337
2023-03-31,MACRO,1.1639,0.0854,,0.1699,
2023-04-28,ALPHA,1.0595,0.0602,-0.3563,0.2433,-0.2686
2023-04-28,DELTA,1.4238,-0.3234,0.4826,0.1367,0.0814
2023-04-28,MACRO,0.6909,0.2056,,-0.1398,
2023-05-31,ALPHA,1.1768,-0.1491,-0.2196,0.3387,0.1051
2023-05-31,DELTA,0.7391,-0.3178,0.1706,0.8059,0.0341
2023-05-31,MACRO,0.6029,-0.5821,,-0.324,
2023-06-30,ALPHA,0.8099,-0.2458,0.154,0.4534,0.1515
2023-06-30,DELTA,0.4548,0.0059,-0.0781,0.5127,0.3543
2023-06-30,MACRO,1.051,-0.571,,0.7912,
2023-07-31,ALPHA,0.6154,-0.3583,0.6003,-0.0977,0.004
2023-07-31,DELTA,1.005,-0.1705,-0.1445,0.3679,-0.1332
2023-07-31,MACRO,1.0257,-0.452,,0.5539,
2023-08-31,ALPHA,1.0517,-0.275,0.3454,0.3831,0.1967
2023-08-31,DELTA,1.176,0.0173,0.1426,0.2063,0.0363
2023-08-31,MACRO,0.891,0.2802,,0.5194,
2023-09-29,ALPHA,0.995,0.3946,-0.4105,-0.0551,-0.2122
2023-09-29,DELTA,0.984,-0.175,-0.4817,-0.1588,-0.4151
2023-09-29,MACRO,0.7204,-0.3333,,0.2157,
2023-10-31,ALPHA,0.993,-1.1921,0.1867,0.348,0.2748
2023-10-31,DELTA,0.9009,-0.0743,0.1731,0.3052,0.2239
2023-10-31,MACRO,0.7259,0.1731,,0.2,
2023-11-30,ALPHA,0.8242,-0.3502,0.5981,1.0273,-0.0215
2023-11-30,DELTA,0.9142,,0.2652,0.0297,-0.3182
2023-11-30,MACRO,0.758,-0.1128,,0.6036,
2023-12-29,ALPHA,0.9946,-0.463,-0.5798,0.7138,-0.0323
2023-12-29,DELTA,0.6133,-0.5885,0.2097,0.4229,-0.2259
2023-12-29,MACRO,0.7947,-0.2752,,0.8023,
2024-01-31,ALPHA,0.7925,-0.4341,0.0712,0.3929,0.05
2024-01-31,DELTA,0.8274,0.0612,0.5083,0.1204,0.0574
2024-01-31,MACRO,0.8696,-0.1228,,0.1088,
2024-02-29,ALPHA,0.7027,-0.7246,0.1272,0.2208,0.3275
2024-02-29,DELTA,0.6947,-0.1353,-0.0821,0.3438,0.0494
2024-02-29,MACRO,1.3769,0.2218,,0.0827,
2024-03-28,ALPHA,1.0136,0.1626,0.5035,0.397,-0.1281
2024-03-28,DELTA,1.1958,-0.2144,0.4497,0.6986,-0.1742
2024-03-28,MACRO,0.8676,-1.0097,,0.5001,
2024-04-30,ALPHA,1.0551,0.355,0.2515,0.1932,0.1085
2024-04-30,DELTA,1.2878,-0.1947,0.0866,0.292,-0.0659
2024-04-30,MACRO,0.8199,-0.0563,,0.2737,
2024-05-31,ALPHA,1.5017,-0.1652,0.1543,0.1603,-0.049
2024-05-31,DELTA,0.8253,0.0962,0.1598,-0.111,-0.0865
2024-05-31,MACRO,0.8239,-0.0103,,0.4341,
2024-06-28,ALPHA,1.171,-0.4255,0.4906,0.7977,0.2025
2024-06-28,DELTA,1.0827,-0.31,-0.0624,0.1559,0.0026
2024-06-28,MACRO,0.7461,-0.2201,,0.2708,
2024-07-31,ALPHA,0.6756,0.1643,-0.0082,0.4791,0.2176
2024-07-31,DELTA,0.7727,-0.3659,0.069,-0.0861,-0.0514
2024-07-31,MACRO,1.4698,0.358,,0.3496,
2024-08-30,ALPHA,0.8105,0.0014,-0.1557,0.0853,-0.079
2024-08-30,DELTA,0.7457,-0.5872,-0.0999,-0.1921,0.0864
2024-08-30,MACRO,0.9456,0.0086,,0.4539,
2024-09-30,ALPHA,0.9754,-0.669,-0.0841,0.1736,-0.1317
2024-09-30,DELTA,1.3196,-0.278,0.0218,0.114,0.2047
2024-09-30,MACRO,1.0566,0.1973,,0.2566,
2024-10-31,ALPHA,0.6401,0.2822,0.4956,0.4066,0.1474
2024-10-31,DELTA,1.0499,0.5874,0.5954,0.0819,0.2111
2024-10-31,MACRO,0.6359,0.1932,,0.5495,
2024-11-29,ALPHA,0.9335,-1.0128,-0.276,-0.0759,0.1587
2024-11-29,DELTA,0.8262,-0.7213,0.141,-0.6538,0.0886
2024-11-29,MACRO,0.7825,-0.2814,,-0.0483,
2024-12-31,ALPHA,0.7153,0.198,0.275,-0.3212,-0.0382
2024-12-31,DELTA,1.2296,0.3226,-0.1387,-0.3089,0.0432
2024-12-31,MACRO,0.7715,-0.5002,,-0.0521,
