trade_id,timestamp,ticker,side,qty,price,trader,venue
T701745,2024-12-16 12:39:00,XOM,SELL,2600.0,98.3544,silva.m,XNYS
T700732,2024-11-21 14:41:00,NVDA,BUY,4000.0,1233.7105,silva.m,XNAS
T701398,2024-12-05 15:23:00,GS,SELL,3300.0,515.1412,haddad.y,XNYS
T700079,2024-11-14 15:59:00,AAPL,SELL,800.0,358.1031,silva.m,BATS
T702592,2024-12-02 10:01:00,TSLA,SELL,19.0,192.6442,haddad.y,XNYS
T701526,2024-10-30 13:08:00,XOM,BUY,1600.0,106.9056,novak.p,BATS
T700852,2024-12-17 12:28:00,NVDA,BUY,4200.0,979.5272,kim.r,XNYS
T701478,2024-12-23 13:15:00,GS,BUY,100.0,501.3621,novak.p,XNYS
T700997,2024-11-13 15:49:00,JPM,BUY,4100.0,291.4202,novak.p,BATS
T701787,2024-12-24 13:37:00,XOM,SELL,3500.0,94.1021,novak.p,XNAS
T700742,2024-11-22 15:30:00,NVDA,BUY,600.0,1256.8703,okafor.a,BATS
T701678,2024-12-02 10:43:00,XOM,SELL,300.0,99.9233,kim.r,XNYS
T702496,2024-11-11 10:20:00,TSLA,BUY,2300.0,210.4793,silva.m,XNAS
T702678,2024-12-17 14:46:00,TSLA,SELL,600.0,208.939,kim.r,XNAS
T700125,2024-11-25 10:33:00,AAPL,SELL,3500.0,364.9627,okafor.a,XNAS
T701292,2024-11-13 09:48:00,GS,BUY,6.0,473.5321,kim.r,BATS
T702923,2024-12-05 14:46:00,BP.L,BUY,38.0,4.808,novak.p,XNYS
T702002,2024-12-05 11:57:00,KO,BUY,44.0,63.7213,silva.m,XNYS
T701513,2024-12-31 15:05:00,GS,BUY,400.0,552.8316,haddad.y,DARK
T700928,2024-10-30 11:18:00,JPM,SELL,3800.0,296.1784,okafor.a,XNYS
T701476,2024-12-23 10:41:00,GS,SELL,1900.0,496.9454,haddad.y,XNYS
T700735,2024-11-22 09:57:00,NVDA,BUY,2400.0,1253.188,okafor.a,XNAS
T702575,2024-11-26 12:17:00,TSLA,BUY,200.0,186.5034,haddad.y,XNYS
T700420,2024-11-20 15:30:00,MSFT,BUY,3500.0,258.7023,okafor.a,XNYS
T701851,2024-11-05 10:23:00,KO,SELL,100.0,64.1393,novak.p,BATS
T702279,2024-12-02 11:24:00,PG,BUY,700.0,150.6307,silva.m,BATS
T700587,2024-12-24 15:42:00,MSFT,SELL,4400.0,265.2702,novak.p,XNYS
T700095,2024-11-18 15:33:00,AAPL,BUY,2200.0,364.1553,okafor.a,XNYS
T700959,2024-11-05 15:09:00,JPM,SELL,100.0,298.2616,haddad.y,DARK
T700752,2024-11-26 09:49:00,NVDA,BUY,12.0,1202.1463,haddad.y,XNYS
T702556,2024-11-21 13:15:00,TSLA,BUY,1600.0,194.0721,kim.r,XNYS
T702806,2024-11-11 10:50:00,BP.L,SELL,1200.0,4.4625,haddad.y,XNAS
T701647,2024-11-22 13:14:00,XOM,BUY,42.0,101.5422,silva.m,DARK
T702186,2024-11-12 13:11:00,PG,BUY,2600.0,142.998,novak.p,BATS
T702021,2024-12-10 12:51:00,KO,BUY,600.0,64.0217,kim.r,BATS
T700206,2024-12-11 13:02:00,AAPL,BUY,4300.0,404.1509,silva.m,XNAS
T702622,2024-12-06 09:37:00,TSLA,SELL,2900.0,199.6792,haddad.y,BATS
T702547,2024-11-20 11:00:00,TSLA,BUY,1000.0,213.9626,kim.r,DARK
T700579,2024-12-23 15:15:00,MSFT,SELL,2200.0,270.351,kim.r,XNYS
T702296,2024-12-04 14:31:00,PG,BUY,2400.0,152.3398,novak.p,XNYS
T701109,2024-12-09 10:56:00,JPM,BUY,31.0,306.1713,silva.m,XNYS
T702734,2024-12-30 14:34:00,TSLA,BUY,1800.0,211.509,novak.p,XNAS
T702786,2024-11-06 12:17:00,BP.L,BUY,3500.0,4.3988,silva.m,XNYS
T701102,2024-12-06 12:07:00,JPM,BUY,1600.0,302.9635,silva.m,BATS
T701363,2024-11-29 09:36:00,GS,SELL,600.0,498.2579,silva.m,XNAS
T701971,2024-11-29 11:42:00,KO,BUY,200.0,61.7723,silva.m,XNAS
T701227,2024-10-30 15:06:00,GS,BUY,3.0,478.651,okafor.a,XNAS
T701903,2024-11-14 12:40:00,KO,BUY,1700.0,61.5987,haddad.y,XNYS
T700707,2024-11-15 14:07:00,NVDA,SELL,2700.0,1190.8695,novak.p,XNAS
T701397,2024-12-05 14:31:00,GS,BUY,1800.0,516.4432,okafor.a,XNYS
T701813,2024-12-31 09:49:00,XOM,SELL,400.0,96.9491,haddad.y,XNAS
T700631,2024-10-31 09:55:00,NVDA,BUY,2400.0,1413.2325,novak.p,XNAS
T700658,2024-11-06 09:58:00,NVDA,SELL,2900.0,1373.8239,haddad.y,XNYS
T701977,2024-12-02 10:35:00,KO,SELL,42.0,61.7574,haddad.y,XNYS
T700180,2024-12-06 09:59:00,AAPL,BUY,3400.0,394.4603,silva.m,XNYS
T701853,2024-11-05 11:46:00,KO,SELL,400.0,63.9772,okafor.a,XNAS
T702581,2024-11-27 14:35:00,TSLA,BUY,31.0,187.8151,haddad.y,XNAS
T702264,2024-11-27 09:54:00,PG,BUY,3700.0,147.349,haddad.y,XNYS
T700186,2024-12-06 15:48:00,AAPL,SELL,4100.0,,silva.m,BATS
T702124,2024-10-30 09:51:00,PG,SELL,23.0,145.0186,haddad.y,DARK
T702579,2024-11-27 10:28:00,TSLA,SELL,3200.0,187.4976,novak.p,DARK
T701098,2024-12-05 15:51:00,JPM,BUY,100.0,301.5854,novak.p,XNYS
T702217,2024-11-18 14:08:00,PG,SELL,2700.0,144.2901,novak.p,DARK
T700419,2024-11-20 13:40:00,MSFT,SELL,4300.0,255.7528,novak.p,XNAS
T702941,2024-12-10 09:37:00,BP.L,SELL,500.0,4.7173,novak.p,BATS
T700652,2024-11-05 12:04:00,NVDA,SELL,1000.0,1394.9558,novak.p,XNAS
T702164,2024-11-07 13:29:00,PG,BUY,4100.0,144.3157,novak.p,DARK
T700414,2024-11-20 11:11:00,MSFT,BUY,3600.0,255.878,silva.m,XNAS
T700736,2024-11-22 10:45:00,NVDA,BUY,800.0,1258.13,novak.p,BATS
T702055,2024-12-16 15:41:00,KO,BUY,1900.0,64.1932,okafor.a,XNAS
T702591,2024-12-02 09:55:00,TSLA,BUY,3400.0,193.0266,okafor.a,
T702146,2024-11-04 12:47:00,PG,SELL,3600.0,146.0119,okafor.a,XNAS
T702371,2024-12-19 12:20:00,PG,BUY,200.0,150.4982,kim.r,XNAS
T702924,2024-12-05 15:59:00,BP.L,BUY,2500.0,4.7429,okafor.a,BATS
T702821,2024-11-13 14:01:00,BP.L,BUY,500.0,4.4246,silva.m,DARK
T701164,2024-12-19 15:10:00,JPM,SELL,3000.0,328.2844,okafor.a,XNYS
T701441,2024-12-16 12:12:00,GS,BUY,4400.0,472.8147,silva.m,XNYS
T702753,2024-10-30 11:21:00,BP.L,SELL,2100.0,4.4466,kim.r,XNYS
T702628,2024-12-09 13:41:00,TSLA,BUY,3300.0,207.1764,kim.r,XNAS
T701422,2024-12-11 10:30:00,GS,BUY,700.0,449.7486,silva.m,XNYS
T700898,2024-12-26 15:39:00,NVDA,SELL,2200.0,1088.1072,kim.r,XNAS
T702588,2024-11-29 15:27:00,TSLA,SELL,1200.0,192.3329,silva.m,XNAS
T700427,2024-11-21 15:37:00,MSFT,BUY,32.0,255.9636,okafor.a,XNYS
T700929,2024-10-30 11:25:00,JPM,SELL,400.0,295.7435,silva.m,DARK
T702230,2024-11-20 10:26:00,PG,BUY,900.0,146.5085,okafor.a,XNYS
T702043,2024-12-13 11:01:00,KO,SELL,3400.0,64.5953,haddad.y,XNYS
T702326,2024-12-10 09:59:00,PG,BUY,4000.0,151.7741,okafor.a,BATS
T700526,2024-12-12 12:18:00,MSFT,BUY,200.0,245.8127,silva.m,XNYS
T702384,2024-12-20 11:40:00,PG,BUY,2700.0,152.7217,haddad.y,BATS
T702457,2024-11-01 15:45:00,TSLA,SELL,1900.0,236.0542,kim.r,XNYS
T700824,2024-12-11 11:41:00,NVDA,SELL,1300.0,1107.6865,haddad.y,XNAS
T700121,2024-11-22 12:50:00,AAPL,SELL,5.0,371.0093,kim.r,BATS
T701720,2024-12-10 15:32:00,XOM,BUY,1500.0,93.813,haddad.y,BATS
T700305,2024-10-30 11:35:00,MSFT,SELL,3500.0,267.7131,silva.m,XNYS
T701096,2024-12-05 11:11:00,JPM,SELL,3200.0,305.3291,okafor.a,BATS
T701081,2024-12-03 13:44:00,JPM,BUY,3700.0,304.9189,haddad.y,DARK
T702074,2024-12-19 15:09:00,KO,BUY,4100.0,65.2709,kim.r,XNYS
T700746,2024-11-25 10:20:00,NVDA,BUY,1900.0,1246.9905,okafor.a,XNAS
T701213,2024-12-31 10:56:00,JPM,SELL,4100.0,329.5375,kim.r,BATS
T702060,2024-12-17 15:17:00,KO,BUY,3300.0,65.4366,haddad.y,XNYS
T701538,2024-11-01 10:28:00,XOM,SELL,4000.0,105.5978,novak.p,DARK
T702665,2024-12-13 15:31:00,TSLA,SELL,3500.0,212.2629,novak.p,XNAS
T702035,2024-12-12 13:49:00,KO,BUY,2400.0,64.3593,novak.p,DARK
T700314,2024-10-31 14:38:00,MSFT,BUY,4000.0,264.658,silva.m,BATS
T702975,2024-12-17 14:20:00,BP.L,SELL,42.0,4.6423,okafor.a,BATS
T701781,2024-12-23 11:23:00,XOM,BUY,4300.0,93.1759,okafor.a,BATS
T701471,2024-12-20 15:18:00,GS,BUY,1200.0,493.9018,kim.r,XNYS
T700890,2024-12-24 15:55:00,NVDA,SELL,4400.0,1097.0355,haddad.y,DARK
T702328,2024-12-10 14:18:00,PG,BUY,800.0,151.3028,novak.p,BATS
T701920,2024-11-19 12:01:00,KO,SELL,2500.0,61.2255,haddad.y,BATS
T700203,2024-12-11 09:49:00,AAPL,BUY,1100.0,394.8459,okafor.a,XNYS
T702373,2024-12-19 13:30:00,PG,SELL,1200.0,151.3498,novak.p,XNAS
T701223,2024-10-30 10:15:00,GS,BUY,2400.0,479.5333,novak.p,BATS
